Fold 1 for k=20,l=1.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
Iteration: 9.
Iteration: 10.
Iteration: 11.
Iteration: 12.
Iteration: 13.
Iteration: 14.
Iteration: 15.
Iteration: 16.
Iteration: 17.
Iteration: 18.
Iteration: 19.
Iteration: 20.
[91.0, 35.0, 14.0, 42.0, 4.0, 53.0, 106.0, 5.0, 51.0, 90.0, 3.0, 66.0, 0.0, 1.0, 24.0, 31.0, 6.0, 0.0, 0.0, 0.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
[139.0]
Iteration 55. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 6.66133814775e-16.
Iteration 56. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 0.0.
Iteration 57. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -6.66133814775e-16.
Iteration 58. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -3.33066907388e-16.
Iteration 59. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 6.66133814775e-16.
Iteration 60. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.44328993201e-15.
Iteration 61. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 8.881784197e-16.
Iteration 62. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -8.881784197e-16.
Iteration 63. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 6.66133814775e-16.
Iteration 64. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -2.22044604925e-16.
Iteration 65. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.11022302463e-16.
Iteration 66. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.22124532709e-15.
Iteration 67. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 1.7763568394e-15.
Iteration 68. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -4.4408920985e-16.
Iteration 69. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 9.99200722163e-16.
Iteration 70. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -2.22044604925e-16.
Iteration 71. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 3.33066907388e-16.
Iteration 72. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -3.33066907388e-16.
Iteration 73. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 9.99200722163e-16.
Iteration 74. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.66533453694e-15.
Iteration 75. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 1.22124532709e-15.
Iteration 76. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 2.22044604925e-16.
Iteration 77. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -4.4408920985e-16.
Iteration 78. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -2.22044604925e-16.
Iteration 79. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 1.22124532709e-15.
Iteration 80. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 2.22044604925e-16.
Iteration 81. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.55431223448e-15.
Iteration 82. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 1.11022302463e-16.
Iteration 83. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 1.11022302463e-16.
Iteration 84. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -9.99200722163e-16.
Iteration 85. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 1.7763568394e-15.
Iteration 86. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.11022302463e-15.
Iteration 87. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -3.33066907388e-16.
Iteration 88. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 7.77156117238e-16.
Iteration 89. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -4.4408920985e-16.
Iteration 90. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 2.22044604925e-16.
Iteration 91. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -4.4408920985e-16.
Iteration 92. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 4.4408920985e-16.
Iteration 93. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 2.22044604925e-16.
Iteration 94. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 0.0.
Iteration 95. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -3.33066907388e-16.
Iteration 96. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.11022302463e-16.
Iteration 97. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -9.99200722163e-16.
Iteration 98. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 6.66133814775e-16.
Iteration 99. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 4.4408920985e-16.
Iteration 100. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 9.99200722163e-16.
Performance on test set: MSE=0.854483256799, I-div=412.444489635.
0.854483256799
